                   0, 00, 0, 00, xx
               10000, 00, 0, 00, 00
               30000, 00, 0, xx, 00
               50000, 00, 0, 00, 00
             6870000, 4f, 1, 00, 00
             6890000, 4b, 1, 00, 00
             6910000, 0a, 1, 00, 00
             6930000, 00, 0, 00, 00
            14010000, 4f, 1, 00, 00
            14030000, 4b, 1, 00, 00
            14050000, 0a, 1, 00, 00
            14070000, 00, 0, 00, 00
            17790000, 4f, 1, 00, 00
            17810000, 4b, 1, 00, 00
            17830000, 0a, 1, 00, 00
            17850000, 00, 0, 00, 00
            21570000, 00, 0, 00, 01
            24930000, 00, 0, 00, 02
            28290000, 00, 0, 00, 03
            31650000, 00, 0, 00, 04
            35010000, 00, 0, 00, 05
            38370000, 00, 0, 00, 06
            41730000, 00, 0, 00, 07
            45090000, 00, 0, 00, 08
            48450000, 00, 0, 00, 09
            51810000, 00, 0, 00, 0a
            55170000, 00, 0, 00, 0b
            58530000, 00, 0, 00, 0c
            61890000, 00, 0, 00, 0d
            65250000, 00, 0, 00, 0e
            68610000, 00, 0, 00, 0f
            71970000, 00, 0, 00, 10
            75330000, 00, 0, 00, 11
            78690000, 00, 0, 00, 12
            82050000, 00, 0, 00, 13
            85410000, 00, 0, 00, 14
            88770000, 00, 0, 00, 15
            92130000, 00, 0, 00, 16
            95490000, 4f, 1, 00, 17
            95510000, 4b, 1, 00, 17
            95530000, 0a, 1, 00, 17
            95550000, 00, 0, 00, 17
            95570000, 00, 0, 00, 00
            97190000, 00, 0, 20, 00
           101310000, 4f, 1, 20, 00
           101330000, 4b, 1, 20, 00
           101350000, 0a, 1, 20, 00
           101370000, 00, 0, 20, 00
           102390000, 20, 1, 20, 00
           102410000, 00, 0, 14, 01
           102470000, 14, 1, 14, 01
           102490000, 00, 0, 29, 02
           102550000, 29, 1, 29, 02
           102570000, 00, 0, 39, 03
           102630000, 39, 1, 39, 03
           102650000, 00, 0, 75, 04
           102710000, 75, 1, 75, 04
           102730000, 00, 0, f9, 05
           102790000, f9, 1, f9, 05
           102810000, 00, 0, 2c, 06
